Continent,Country
AF,Algeria
AF,Angola
AF,Benin
AF,Botswana
AF,Burkina
AF,Burundi
AF,Cameroon
AF,Cape Verde
AF,Central African Republic
AF,Chad
AF,Comoros
AF,Congo
AF,Dem. Republic of Congo (Zaire)
AF,Djibouti
AF,Egypt
AF,Equatorial Guinea
AF,Eritrea
AF,Ethiopia
AF,Gabon
AF,Gambia
AF,Ghana
AF,Guinea
AF,Guinea-Bissau
AF,Ivory Coast
AF,Kenya
AF,Lesotho
AF,Liberia
AF,Libya
AF,Madagascar
AF,Malawi
AF,Mali
AF,Mauritania
AF,Mauritius
AF,Morocco
AF,Mozambique
AF,Namibia
AF,Niger
AF,Nigeria
AF,Rwanda
AF,Sao Tome and Principe
AF,Senegal
AF,Seychelles
AF,Sierra Leone
AF,Somalia
AF,South Africa
AF,South Sudan
AF,Sudan
AF,Swaziland
AF,Tanzania
AF,Togo
AF,Tunisia
AF,Uganda
AF,Zambia
AF,Zimbabwe
AS,Afghanistan
AS,Bahrain
AS,Bangladesh
AS,Bhutan
AS,Brunei
AS,Burma (Myanmar)
AS,Cambodia
AS,China
AS,East Timor
AS,India
AS,Indonesia
AS,Iran
AS,Iraq
AS,Israel
AS,Japan
AS,Jordan
AS,Kazakhstan
AS,North Korea (Dem. People's Rep. of Korea
AS,South Korea (republic of Korea)
AS,Kuwait
AS,Kyrgyzstan
AS,Laos
AS,Lebanon
AS,Malaysia
AS,Maldives
AS,Mongolia
AS,Nepal
AS,Oman
AS,Pakistan
AS,Philippines
AS,Qatar
AS,Russian Federation
AS,Saudi Arabia
AS,Singapore
AS,Sri Lanka
AS,Syria
AS,Tajikistan
AS,Thailand
AS,Turkey
AS,Turkmenistan
AS,United Arab Emirates
AS,Uzbekistan
AS,Vietnam
AS,Yemen
EU,Albania
EU,Andorra
EU,Armenia
EU,Austria
EU,Azerbaijan
EU,Belarus
EU,Belgium
EU,Bosnia and Herzegovina
EU,Bulgaria
EU,Croatia
EU,Cyprus
EU,CZ
EU,Denmark
EU,Estonia
EU,Finland
EU,France
EU,Georgia
EU,Germany
EU,Greece
EU,Hungary
EU,Iceland
EU,Ireland
EU,Italy
EU,Latvia
EU,Liechtenstein
EU,Lithuania
EU,Luxembourg
EU,Macedonia
EU,Malta
EU,Moldova
EU,Monaco
EU,Montenegro
EU,Netherlands
EU,Norway
EU,Poland
EU,Portugal
EU,Romania
EU,San Marino
EU,Serbia
EU,Slovakia
EU,Slovenia
EU,Spain
EU,Sweden
EU,Switzerland
EU,Ukraine
EU,United Kingdom
EU,Vatican City
NA,Antigua and Barbuda
NA,Bahamas
NA,Barbados
NA,Belize
NA,Canada
NA,Costa Rica
NA,Cuba
NA,Dominica
NA,Dominican Republic
NA,El Salvador
NA,Grenada
NA,Guatemala
NA,Haiti
NA,Honduras
NA,Jamaica
NA,Mexico
NA,Nicaragua
NA,Panama
NA,Saint Kitts and Nevis
NA,Saint Lucia
NA,Saint Vincent and the Grenadines
NA,Trinidad and Tobago
NA,US
OC,Australia
OC,Fiji
OC,Kiribati
OC,Marshall Islands
OC,Micronesia
OC,Nauru
OC,New Zealand
OC,Palau
OC,Papua New Guinea
OC,Samoa
OC,Solomon Islands
OC,Tonga
OC,Tuvalu
OC,Vanuatu
SA,Argentina
SA,Bolivia
SA,Brazil
SA,Chile
SA,Colombia
SA,Ecuador
SA,Guyana
SA,Paraguay
SA,Peru
SA,Suriname
SA,Uruguay
SA,Venezuela
